date,total_hosp,total_rea,new_hosp,new_dc,new_cases,roll_cases,roll_hosp,roll_dc
2021-04-30,28930,5675,1433,271,24299,25106.14285714286,1593.4285714285713,288.42857142857144
2021-05-01,28603,5581,1246,195,25670,24111.428571428572,1576,284.85714285714283
2021-05-02,28818,5585,798,113,9888,22029,1564.142857142857,280.2857142857143
2021-05-03,28950,5630,1495,311,3760,21715.85714285714,1500,267.57142857142856
2021-05-04,28427,5504,1591,243,24371,20866.428571428572,1426,254
2021-05-05,27686,5402,1459,245,26000,20075.14285714286,1390.4285714285713,242.71428571428572
2021-05-06,26985,5231,1151,222,21712,19385.714285714286,1310.4285714285713,228.57142857142858
2021-05-07,26331,5106,1140,227,19124,18646.428571428572,1268.5714285714287,222.28571428571428
2021-05-08,25800,5005,844,176,20745,17942.85714285714,1211.142857142857,219.57142857142858
2021-05-09,25797,4971,527,116,9128,17834.285714285714,1172.4285714285713,220
2021-05-10,25666,4870,1125,293,3292,17767.428571428572,1119.5714285714287,217.42857142857142
2021-05-11,25028,4743,1239,236,19791,17113.14285714286,1069.2857142857142,216.42857142857142
2021-05-12,24254,4583,965,185,21498,16470,998.7142857142857,207.85714285714286
2021-05-13,23656,4442,618,131,19461,16148.42857142857,922.5714285714286,194.85714285714286
2021-05-14,23406,4352,733,173,7025,14420,864.4285714285714,187.14285714285714
2021-05-15,22950,4271,580,112,15685,13697.142857142857,826.7142857142857,178
2021-05-16,22963,4255,416,81,13948,14385.714285714286,810.8571428571429,173
2021-05-17,22749,4186,871,196,3350,14394,774.5714285714286,159.14285714285714
2021-05-18,22058,4015,996,187,17210,14025.285714285714,739.8571428571429,152.14285714285714
2021-05-19,21347,3862,712,141,19050,13675.57142857143,703.7142857142857,145.85714285714286
2021-05-20,20750,3769,709,137,15415,13097.57142857143,716.7142857142857,146.71428571428572
2021-05-21,20209,3631,625,111,12800,13922.57142857143,701.2857142857143,137.85714285714286
2021-05-22,19765,3544,468,89,12611,13483.42857142857,685.2857142857143,134.57142857142858
2021-05-23,19720,3515,324,70,9704,12877.142857142857,672.1428571428571,133
2021-05-24,19701,3496,260,62,2229,12717,584.8571428571429,113.85714285714286
2021-05-25,19430,3447,796,199,3155,10709.142857142857,556.2857142857143,115.57142857142857
2021-05-26,18593,3330,671,144,12646,9794.285714285714,550.4285714285714,116
2021-05-27,17941,3206,499,146,13933,9582.57142857143,520.4285714285714,117.28571428571429
2021-05-28,17272,3104,539,105,11268,9363.714285714286,508.14285714285717,116.42857142857143
2021-05-29,16847,3028,334,71,10675,9087.142857142857,489,113.85714285714286
2021-05-30,16775,2993,199,44,8541,8921,471.14285714285717,110.14285714285714
2021-05-31,16596,2945,529,126,1211,8775.57142857143,509.57142857142856,119.28571428571429
2021-06-01,16088,2825,596,137,9848,9731.714285714286,481,110.42857142857143
2021-06-02,15638,2754,491,96,8743,9174.142857142857,455.2857142857143,103.57142857142857
2021-06-03,15283,2677,458,71,8161,8349.57142857143,449.42857142857144,92.85714285714286
2021-06-04,14801,2571,408,81,6953,7733.142857142857,430.7142857142857,89.42857142857143
2021-06-05,14532,2525,267,58,6654,7158.714285714285,421.14285714285717,87.57142857142857
2021-06-06,14525,2527,154,25,5070,6662.857142857143,414.7142857142857,84.85714285714286
2021-06-07,14323,2472,383,66,1164,6656.142857142857,393.85714285714283,76.28571428571429
2021-06-08,13984,2394,405,72,6018,6109,366.57142857142856,67
2021-06-09,13526,2326,391,65,5557,5653.857142857143,352.2857142857143,62.57142857142857
2021-06-10,13090,2245,297,68,4475,5127.285714285715,329.2857142857143,62.142857142857146
2021-06-11,12712,2163,313,69,3871,4687,315.7142857142857,60.42857142857143
2021-06-12,12496,2110,198,34,3972,4303.857142857143,305.85714285714283,57
2021-06-13,12480,2106,111,13,2855,3987.4285714285716,299.7142857142857,55.285714285714285
2021-06-14,12374,2068,325,63,689,3919.5714285714284,291.42857142857144,54.857142857142854
2021-06-15,11895,1952,300,76,3235,3522,276.42857142857144,55.42857142857143
2021-06-16,11519,1873,198,45,3058,3165,248.85714285714286,52.57142857142857
2021-06-17,11114,1799,225,56,2786,2923.714285714286,238.57142857142858,50.857142857142854
2021-06-18,10738,1740,171,50,2439,2719.1428571428573,218.28571428571428,48.142857142857146
2021-06-19,10531,1703,102,22,2624,2526.5714285714284,204.57142857142858,46.42857142857143
2021-06-20,10518,1703,51,14,1815,2378,196,46.57142857142857
2021-06-21,10386,1655,216,40,487,2349.1428571428573,180.42857142857142,43.285714285714285
2021-06-22,10046,1560,181,52,2204,2201.8571428571427,163.42857142857142,39.857142857142854
2021-06-23,9771,1509,167,33,2320,2096.4285714285716,159,38.142857142857146
2021-06-24,9392,1439,140,45,2007,1985.142857142857,146.85714285714286,36.57142857142857
2021-06-25,9190,1389,148,33,1986,1920.4285714285713,143.57142857142858,34.142857142857146
2021-06-26,9024,1349,81,12,2128,1849.5714285714287,140.57142857142858,32.714285714285715
2021-06-27,8986,1345,42,17,1578,1815.7142857142858,139.28571428571428,33.142857142857146
2021-06-28,8846,1304,176,44,509,1818.857142857143,133.57142857142858,33.714285714285715
2021-06-29,8627,1250,134,28,2314,1834.5714285714287,126.85714285714286,30.285714285714285
2021-06-30,8451,1204,158,25,2457,1854.142857142857,125.57142857142857,29.142857142857142
2021-07-01,8232,1162,109,29,2664,1948,121.14285714285714,26.857142857142858
2021-07-02,8044,1123,118,24,2683,2047.5714285714287,116.85714285714286,25.571428571428573
2021-07-03,7912,1102,79,17,3006,2173,116.57142857142857,26.285714285714285
2021-07-04,7913,1104,41,9,2549,2311.714285714286,116.42857142857143,25.142857142857142
2021-07-05,7806,1077,137,36,796,2352.714285714286,110.85714285714286,24
2021-07-06,7637,1032,149,35,3585,2534.285714285714,113,25
2021-07-07,7539,997,140,28,4081,2766.285714285714,110.42857142857143,25.428571428571427
2021-07-08,7384,971,100,25,4442,3020.285714285714,109.14285714285714,24.857142857142858
